source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
video_persize,video_helicopters_helicopter_compilation,retrained_v2,S0_detector,small,0,1,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_compilation,retrained_v2,S0_detector,medium,0,32,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_compilation,retrained_v2,S0_detector,large,0,30,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,retrained_v2,S0_detector,small,0,1,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,retrained_v2,S0_detector,medium,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,retrained_v2,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,retrained_v2,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,retrained_v2,S0_detector,medium,0,13,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,retrained_v2,S0_detector,large,0,2,0,0,20,0.0,0.0,0.0,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,selcom_1280,S0_detector,small,12,45,37,49,114,0.2105,0.2449,0.2264,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,selcom_1280,S0_detector,medium,61,19,5,66,114,0.7625,0.9242,0.8356,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,selcom_1280,S0_detector,large,0,2,0,0,114,0.0,0.0,0.0,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,selcom_1280,S0_detector,small,0,5,2,2,108,0.0,0.0,0.0,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,selcom_1280,S0_detector,medium,50,18,15,65,108,0.7353,0.7692,0.7519,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,selcom_1280,S0_detector,large,21,3,0,21,108,0.875,1.0,0.9333,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,selcom_1280,S0_detector,small,0,0,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,selcom_1280,S0_detector,medium,0,0,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,selcom_1280,S0_detector,large,13,2,55,68,68,0.8667,0.1912,0.3133,
video_persize,video_drone_drone_seagull_attack,selcom_1280,S0_detector,small,0,15,0,0,235,0.0,0.0,0.0,
video_persize,video_drone_drone_seagull_attack,selcom_1280,S0_detector,medium,17,37,1,18,235,0.3148,0.9444,0.4722,
video_persize,video_drone_drone_seagull_attack,selcom_1280,S0_detector,large,165,15,11,176,235,0.9167,0.9375,0.927,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,selcom_1280,S0_detector,small,14,4,2,16,163,0.7778,0.875,0.8235,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,selcom_1280,S0_detector,medium,44,2,0,44,163,0.9565,1.0,0.9778,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,selcom_1280,S0_detector,large,79,13,15,94,163,0.8587,0.8404,0.8495,
video_persize,video_drone_drone_takeoff_short,selcom_1280,S0_detector,small,10,0,0,10,116,1.0,1.0,1.0,
video_persize,video_drone_drone_takeoff_short,selcom_1280,S0_detector,medium,49,0,1,50,116,1.0,0.98,0.9899,
video_persize,video_drone_drone_takeoff_short,selcom_1280,S0_detector,large,42,4,14,56,116,0.913,0.75,0.8235,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,selcom_1280,S0_detector,small,0,1,0,0,166,0.0,0.0,0.0,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,selcom_1280,S0_detector,medium,6,0,8,14,166,1.0,0.4286,0.6,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,selcom_1280,S0_detector,large,121,24,27,148,166,0.8345,0.8176,0.8259,
